Undergraduate,Graduate,Postdoctoral
0.119532654,0.071895425,0.053804766
0.127759788,0.075903614,0.06129722
0.1255449,0.070438799,0.068228808
0.132661871,0.075601375,0.076691729
0.127105263,0.071019473,0.064992614
0.142820709,0.079748164,0.052513128
0.136463148,0.088328076,0.077094144
0.1458582,0.09009901,0.063885267
0.160766962,0.095111111,0.07979408
0.145889187,0.099384345,0.079495268
0.14530095,0.093082835,0.081353919
0.161254936,0.101844427,0.094056549
0.157634409,0.108934169,0.087027915
0.164341085,0.113861386,0.083588175
0.167715827,0.13179449,0.091947769
0.174140678,0.124264225,0.087399464
0.176456485,0.121967655,0.097707424
0.185856079,0.127367734,0.099031216
0.191557574,0.130790191,0.114254021
0.191849696,0.134722222,0.104669887
0.213578501,0.128165771,0.106874329
0.215860215,0.128102482,0.106776181
0.222866812,0.142620232,0.104079498
0.22970562,0.156669651,0.123433875
0.220127119,0.177192982,0.126702997
0.225927388,0.162790698,0.137511693
0.221966647,0.151145038,0.144474638
0.21178768,0.177060932,0.14741784
0.211083123,0.182845745,0.146872167
0.203555999,0.186046512,0.157284057
0.196797865,0.187764991,0.158919348
0.204299337,0.195241001,0.183665644
0.198347107,0.18499718,0.180400891
0.196656977,0.203353164,0.184081479
